Specification vs. Statistical Parameter Table :
Variance Contribution
param name, Average(Mag), off_Nominal, on_Nominal
Algorithm, , Quadratic, Quadratic
I0.TP8:mbeta, 0.00583351, -0.00288589, -0.00878113
I0.TP8:mvth0, 0.0269967, 0.0450115, 0.00898182

Input Output Normalized MultiVariate Regression Analysis
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.00158987, 0.00106557, 0.00211416
I0.C3:mmcap, 0.00126925, 0.00164901, -0.000889495
I0.C4:mmcap, 0.000979387, 0.000257435, -0.00170134
I0.TN0:mbeta, 0.000963581, 0.00184817, 7.89909e-05
I0.TN0:mvth0, 0.00171367, -0.0019246, 0.00150274
I0.TN13:mbeta, 0.000681654, 0.000923884, -0.000439424
I0.TN13:mvth0, 0.00158226, -0.00139216, -0.00177237
I0.TN14:mbeta, 0.00438429, -0.00163643, -0.00713216
I0.TN14:mvth0, 0.00283606, -0.00442318, 0.00124895
I0.TN15:mbeta, 0.00100052, -0.000651158, 0.00134988
I0.TN15:mvth0, 0.00470452, 0.00295972, 0.00644932
I0.TN16:mbeta, 0.00103684, -0.0016526, -0.000421082
I0.TN16:mvth0, 0.00174665, -0.00287567, 0.00061763
I0.TN3:mbeta, 0.00302942, -0.00261523, -0.0034436
I0.TN3:mvth0, 0.0124189, 0.0191677, -0.00567009
I0.TN4:mbeta, 0.000949309, 2.09628e-05, -0.00187766
I0.TN4:mvth0, 0.00558108, 0.00124004, 0.00992212
I0.TN5:mbeta, 0.00306968, -0.00103602, -0.00510333
I0.TN5:mvth0, 0.0122199, -0.0239975, -0.000442369
I0.TP10:mbeta, 0.00046858, -0.00014324, -0.00079392
I0.TP10:mvth0, 0.00152714, -0.000164661, -0.00288961
I0.TP1:mbeta, 0.00205062, 0.00352961, -0.000571626
I0.TP1:mvth0, 0.000975321, 0.000837257, -0.00111339
I0.TP2:mbeta, 0.00300764, 0.000757668, -0.00525762
I0.TP2:mvth0, 0.00227349, 0.00304242, 0.00150456
I0.TP3:mbeta, 0.00142085, -0.00260042, -0.00024128
I0.TP3:mvth0, 0.00294353, 0.0015715, 0.00431556
I0.TP4:mbeta, 0.00402299, -0.00102748, -0.0070185
I0.TP4:mvth0, 0.00177628, -0.00135279, -0.00219976
I0.TP5:mbeta, 0.00190063, -0.000887667, 0.0029136
I0.TP5:mvth0, 0.00197095, -0.00129668, -0.00264522
I0.TP6:mbeta, 0.00285996, 0.00364727, -0.00207265
I0.TP6:mvth0, 0.0216108, -0.0332272, 0.00999436
I0.TP7:mbeta, 0.000719279, -0.000836013, 0.000602545
I0.TP7:mvth0, 0.00425005, -0.000784541, -0.00771556
I0.TP8:mbeta, 0.00203048, -0.00100449, -0.00305646
I0.TP8:mvth0, 0.00884946, 0.0147547, 0.00294422

Quadratic Regression Analysis
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.087005, 0.103926, -0.0700842
I0.C3:mmcap, 0.268003, -0.367302, -0.168704
I0.C4:mmcap, 0.113111, -0.0994348, -0.126788
I0.TN0:mbeta, 0.198314, 0.252548, 0.14408
I0.TN0:mvth0, 0.250026, -0.316493, -0.183559
I0.TN13:mbeta, 0.201424, -0.175333, -0.227514
I0.TN13:mvth0, 0.109101, -0.0658125, -0.152391
I0.TN14:mbeta, 0.114726, -0.19749, 0.0319613
I0.TN14:mvth0, 0.13179, -0.0817242, -0.181855
I0.TN15:mbeta, 0.154734, 0.0969737, -0.212494
I0.TN15:mvth0, 0.277752, 0.287704, -0.2678
I0.TN16:mbeta, 0.236609, 0.414798, 0.0584198
I0.TN16:mvth0, 0.231362, 0.208163, -0.254562
I0.TN3:mbeta, 0.187892, 0.154654, -0.221129
I0.TN3:mvth0, 0.267202, 0.0405729, 0.49383
I0.TN4:mbeta, 0.161936, -0.293108, -0.0307645
I0.TN4:mvth0, 0.409656, -0.359667, 0.459645
I0.TN5:mbeta, 0.445779, 0.83543, -0.0561279
I0.TN5:mvth0, 0.19112, 0.186337, 0.195902
I0.TP10:mbeta, 0.224622, 0.253362, 0.195882
I0.TP10:mvth0, 0.247328, 0.245015, -0.24964
I0.TP1:mbeta, 0.267633, -0.334648, 0.200618
I0.TP1:mvth0, 0.436181, 0.789525, -0.0828369
I0.TP2:mbeta, 0.395613, -0.590668, 0.200559
I0.TP2:mvth0, 0.286015, -0.369912, 0.202118
I0.TP3:mbeta, 0.144116, 0.0167857, -0.271446
I0.TP3:mvth0, 0.365913, 0.371982, 0.359844
I0.TP4:mbeta, 0.294373, 0.370973, 0.217774
I0.TP4:mvth0, 0.0871088, -0.0775779, 0.0966397
I0.TP5:mbeta, 0.165772, -0.0648681, 0.266676
I0.TP5:mvth0, 0.232792, 0.356626, 0.108958
I0.TP6:mbeta, 0.279845, -0.378504, 0.181185
I0.TP6:mvth0, 0.280078, -0.347179, 0.212976
I0.TP7:mbeta, 0.0257795, 0.0369691, 0.0145899
I0.TP7:mvth0, 0.203061, 0.144365, 0.261757
I0.TP8:mbeta, 0.0772234, -0.0195534, 0.134893
I0.TP8:mvth0, 0.224536, 0.222773, -0.226298

Input Normalized Quadratic Regression Analysis
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.0106801, 0.0127571, -0.008603
I0.C3:mmcap, 0.0297125, -0.0407215, -0.0187036
